"","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021"
"748","71138B","71138","783",1.5,5.8,"QUERC","standing broken","Log","Log","2","4",5,NA,NA,NA,34.7,53.9,NA,NA,NA,NA,9.2,10,NA,NA,NA,NA
"749","71219A","71219","792",NA,NA,"COFL2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA
"750","71313A","71313","789",6.1,7.5,"QUAL","standing broken","Log","Log","3","4",4,NA,NA,NA,45.3,44.6,NA,35,NA,NA,NA,8.5,NA,NA,NA,NA
"751","71313B","71313","7810",NA,NA,"QUAL","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA
"752","71313E","71313","7810",NA,NA,"QUAL","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,28.4,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA
"753","71313C","71313","7810",NA,NA,"QUAL","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,32.9,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA
"754","71313D","71313","7810",NA,NA,"QUAL","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,31.6,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA
"755","71448A","71448","7910",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA
"756","71534E","71534","7710",NA,NA,"QUAL","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757","71534C","71534","7710",NA,NA,"QUAL","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758","71534B","71534","7710",NA,NA,"QUAL","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759","71534D","71534","7710",NA,NA,"QUAL","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760","71534A","71534","7710",3.1,5.7,"QUAL","standing broken","Log","Log","2","3",3,NA,NA,NA,53.7,55,NA,NA,NA,NA,NA,11,NA,9,NA,NA
"761","71614A","71614","7102",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA
"762","80267A","80267","835",NA,NA,"CACA18","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763","80339C","80339","4109",NA,NA,"LIST2","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,49.7,NA,NA,NA,NA,NA,12.7,NA,NA,NA,NA,NA
"764","80339B","80339","4109",NA,NA,"LIST2","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,59.4,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA
"765","80339A","80339","819",0.9,9,"LIST2","standing broken","Snag","Snag","1","3",4,59.4,51.8,NA,59.6,59.1,NA,57.9,NA,54.8,NA,NA,NA,7,5.5,5.5
"766","80436B","80436","837",5.2,2.3,"FAGR","standing broken","Log","Log","2","3",4,NA,NA,NA,100,110.5,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA
"767","80436A","80436","837",5.2,2.3,"FAGR","standing broken","Snag","Snag","2","3",3,100,75.1,NA,110.8,110.5,110.6,108.6,NA,NA,NA,NA,NA,4,10,NA
"768","80528A","80528","828",2.5,4.7,"LIST2","lying whole","Log","Log","2","2",3,NA,NA,NA,29,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA
"769","80650A","80650","854",NA,NA,"LIST2","lying broken",NA,NA,"3",NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA
"770","80671A","80671","855",4.9,2.7,"LIST2","standing broken","Snag",NA,"2",NA,NA,11,NA,NA,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771","80671B","80671","855",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA
"772","80701A","80701","861",NA,NA,"CATO6","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,54.9,NA,NA,NA,NA,NA,30.7,NA,NA,NA,NA,NA
"773","80749B","80749","866",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774","80749A","80749","866",NA,NA,"CACA18","standing broken",NA,NA,"2",NA,NA,10.9,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"775","80971A","80971","872",NA,NA,"CACA18","standing dead",NA,NA,"3",NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"776","80999A","80999","875",NA,NA,"FAGR","standing dead",NA,NA,"3",NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"777","81021A","81021","881",7.3,0.8,"COFL2","standing dead","Log",NA,"2","4",NA,NA,NA,NA,10.5,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778","81264A","81264","892",NA,NA,"CACA18","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA
"779","90105A","90105","991",4.6,4.9,"LIST2","lying whole","Log",NA,"3","3",NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,2.7,2.7,NA,NA,NA,NA
"780","90108A","90108","991",6.8,6,"ACRU","standing dead","Log",NA,"2","3",NA,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
"781","90140A","90140","993",4.9,6.5,"PRSE2","standing dead","Snag","Snag","3","4",4,NA,NA,NA,25.6,25.3,NA,24.2,NA,24.3,NA,NA,NA,NA,6.2,3.9
"782","90201A","90201","981",NA,NA,"ULAM","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA
"783","90257A","90257","984",NA,NA,"UNKN","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,16.9,NA,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA
"784","90658A","90658","971",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785","90683A","90683","973",NA,NA,"LIST2","standing broken",NA,NA,"3",NA,NA,NA,NA,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
"786","90880A","90880","952",NA,NA,"LIGUS2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA
"787","90930B","90930","962",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA
"788","90930A","90930","962",0.3,9.9,"LIST2","standing broken","Log","Log","2","4",4,18.4,NA,NA,24.2,22.9,NA,NA,NA,NA,NA,7,NA,7,NA,NA
"789","90930D","90930","962",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA
"790","90930C","90930","962",NA,NA,"LIST2","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,15.8,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA
"791","90942A","90942","963",NA,NA,"ULRU","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792","90994A","90994","939",7.7,3.3,"FRPE","standing dead","Snag","Snag","2","3",3,NA,NA,NA,51.9,52.1,50.3,52,NA,NA,NA,NA,NA,NA,7.5,NA
"793","91011C","91011","9109",NA,NA,"FRPE","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,12.3,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA
"794","91011B","91011","978",NA,NA,"FRPE","standing broken",NA,NA,"1",NA,NA,NA,NA,NA,29.5,NA,NA,NA,NA,NA,25.4,NA,NA,NA,NA,NA
"795","91011A","91011","978",NA,NA,"FRPE","standing broken",NA,NA,"1",NA,NA,29.5,NA,NA,40.2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"796","91023A","91023","979",3.4,3.3,"ULRU","standing dead","Log",NA,"2","4",NA,NA,NA,NA,11.1,10.9,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"797","91054A","91054","9710",NA,NA,"ULRU","lying whole",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798","91409C","91409","944",NA,NA,"LIST2","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,19.2,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA
"799","91409A","91409","953",NA,NA,"LIST2","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA
"800","91409B","91409","944",NA,NA,"LIST2","lying broken",NA,NA,"2",NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA
"801","91495A","91495","9610",NA,NA,"FRPE","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"802","91707A","91707","912",NA,NA,"LIST2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA
"803","91731A","91731","913",NA,NA,"ULRU","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"804","91770A","91770","914",NA,NA,"LIBE3","standing dead",NA,NA,"2",NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805","91812A","91812","925",NA,NA,"COFL2","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA
"806","91874A","91874","952",NA,NA,"LIBE3","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA
"807","92132A","92132","945",NA,NA,"LIST2","lying whole",NA,NA,"3",NA,NA,NA,NA,NA,42.8,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA
"808","92378A","92378","921",NA,NA,"ACRU","lying whole",NA,NA,"2",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA
"809","92545B","92545","917",NA,NA,"ULRU","standing broken",NA,NA,"2",NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA
"810","92545A","92545","917",6.8,2,"ULRU","standing broken","Log",NA,"2","3",NA,18.3,NA,NA,26.8,25.7,NA,NA,NA,NA,NA,5,NA,6,NA,NA
"811","92767A","92767","919",6.8,6.9,"ULRU","standing dead","Consumed",NA,"2",NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812","10008A","10008","123",4.6,0.6,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,23.1,23.1,23.1,NA,24,NA,NA,NA,NA,4.8,10
"813","10009A","10009","123",0.5,3.5,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,28.3,27.6,27.4,NA,24.7,NA,NA,NA,NA,11,10
"814","10033A","10033","126",8.9,0.6,"FRPE",NA,"Snag","Snag",NA,"2",3,NA,NA,NA,NA,23.3,23.4,20,NA,NA,NA,NA,NA,NA,7.4,NA
"815","10135A","10135","115",10,6,"UNKN",NA,"Snag","Snag",NA,"3",4,NA,NA,NA,NA,82.1,76.9,74.8,NA,70.2,NA,NA,NA,NA,18,15
"816","10178A","10178","117",0.5,7.8,"QUAL",NA,"Snag","Log",NA,"2",4,NA,NA,12.6,NA,20.9,20.5,NA,NA,19.8,NA,NA,8,NA,8.6,NA
"817","10219A","10219","135",7.4,2.2,"FRPE",NA,"Snag","Snag",NA,"1",3,NA,NA,NA,NA,35.9,36,35.8,NA,NA,NA,NA,NA,NA,13.2,NA
"818","10291A","10291","122",6.4,1.5,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,34.8,32.3,34.1,NA,NA,NA,NA,NA,NA,11.6,NA
"819","10292A","10292","122",9.2,1.1,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,36.8,36.9,37.1,NA,NA,NA,NA,NA,NA,14.4,NA
"820","10298A","10298","122",9.5,7.7,"TORA2",NA,"Snag",NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821","10316A","10316","143",2.2,0.3,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,25.9,NA,25.8,NA,26.7,NA,NA,NA,NA,12,12
"822","10320A","10320","143",6.9,8.9,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,12.3,12.6,12.4,NA,12.4,NA,NA,NA,NA,5.5,5
"823","10327A","10327","144",4.9,5,"ACRU",NA,"Stump",NA,NA,NA,NA,NA,NA,NA,NA,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824","10347A","10347","146",5.7,9.9,"FRPE",NA,"Snag",NA,NA,NA,NA,NA,NA,NA,NA,17.5,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825","10348A","10348","146",6,9.9,"FRPE",NA,"Consumed",NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826","10349A","10349","146",3.7,7.9,"FRPE",NA,"Snag",NA,NA,NA,NA,NA,NA,NA,NA,12.4,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827","10350A","10350","147",9.1,7.5,"LIST2",NA,"Snag","Log",NA,"2",4,NA,NA,24.9,NA,32.2,31.3,NA,NA,33,NA,NA,10,NA,10.2,NA
"828","10439A","10439","154",1.3,5.5,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,38.6,39.3,38.9,NA,36.6,NA,NA,NA,NA,20.6,3
"829","10439A","10439","154",1.3,5.5,"FRPE",NA,NA,"Log",NA,NA,2,NA,NA,25.3,NA,NA,NA,38.9,NA,30.3,NA,NA,15,NA,NA,NA
"830","10567A","10567","174",3,9.8,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,41.6,39.5,42.3,NA,NA,NA,NA,NA,NA,12.6,NA
"831","10569A","10569","175",8,1.7,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,21.4,22.3,21.8,NA,NA,NA,NA,NA,NA,11,NA
"832","10622A","10622","164",9.8,6.1,"FRPE",NA,"Snag","Snag",NA,"1",1,NA,NA,NA,NA,22.1,22.7,22.7,NA,NA,NA,NA,NA,NA,11.2,NA
"833","10623B","10623","164",8.2,7.9,"FRPE",NA,"Log","Log
Snag",NA,"2",2,NA,NA,NA,NA,36.4,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"834","10623A","10623","164",8.2,7.9,"FRPE",NA,"Snag","Snag",NA,"2",2,NA,29.8,NA,NA,36.4,35.5,36.5,NA,NA,NA,NA,NA,NA,5.6,NA
"835","10642A","10642","167",4.7,1,"LITU",NA,"Snag","Snag",NA,"4",4,NA,NA,NA,NA,29.4,24.7,24,NA,NA,NA,NA,NA,NA,3,NA
"836","10665A","10665","1610",7.6,8.9,"QUAL",NA,"Log","Log",NA,"1",2,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,17,NA,NA,NA,NA
"837","10805A","10805","191",1.1,0.9,"QURU",NA,"Log","Log",NA,"4",5,NA,NA,NA,NA,36.3,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
"838","10952A","10952","1105",8.8,4.8,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,32.2,32.3,32.5,NA,NA,NA,NA,NA,NA,10.2,NA
"839","10965A","10965","1105",4.8,8,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,33.6,32.8,33.8,NA,NA,NA,NA,NA,NA,16.2,NA
"840","10971A","10971","1106",6,3.6,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,29.9,30.5,30.5,NA,NA,NA,NA,NA,NA,11.8,NA
"841","10973A","10973","1106",2.5,6,"LIST2",NA,"Snag","Snag",NA,"2",2,NA,NA,NA,NA,26.9,26.9,26.9,NA,NA,NA,NA,NA,NA,8.6,NA
"842","10978A","10978","1106",0.3,7.8,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,39.3,39.8,39.8,NA,NA,NA,NA,NA,NA,13.8,NA
"843","11034A","11034","185",4.9,6.7,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,36,35.7,34.4,NA,NA,NA,NA,NA,NA,17,NA
"844","11181A","11181","133",3.9,3.2,"FRPE",NA,"Snag","Log",NA,"1",2,NA,NA,14.9,NA,24.8,23.4,25.2,NA,25,NA,NA,15,NA,16,NA
"845","11212A","11212","197",5.4,2.4,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,45.7,45.1,46.1,NA,NA,NA,NA,NA,NA,13.4,NA
"846","20151A","20151","226",3,9.2,"CATO6",NA,"Snag","Log",NA,"1",3,NA,NA,8.3,NA,11.9,11.5,NA,NA,10.1,NA,NA,7.7,NA,7,NA
"847","20175A","20175","229",2.1,1.9,"LITU",NA,"Snag","Snag",NA,"1",1,NA,NA,NA,NA,41.2,40.9,NA,NA,NA,NA,NA,NA,NA,37.6,NA
"848","20260A","20260","244",4.9,1.1,"COFL2",NA,"Log","Log",NA,"3",3,NA,NA,NA,NA,16.6,NA,NA,NA,NA,NA,11,NA,NA,NA,NA
"849","20277A","20277","245",4.6,8.2,"CAGL8",NA,"Snag","Log",NA,"1",2,NA,NA,NA,NA,11,10.7,10.6,NA,NA,NA,NA,NA,NA,13,NA
"850","20313A","20313","231",9.8,5.8,"COFL2",NA,"Snag","Log",NA,"2",2,NA,NA,NA,NA,10.7,10.5,10.3,NA,NA,NA,NA,NA,NA,8,NA
"851","20354B","20354","227",1.4,3.2,"QUAL",NA,"Log","Log",NA,"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
"852","20354A","20354","237",1.4,3.2,"QUAL",NA,"Snag","Snag",NA,"3",3,NA,NA,NA,NA,60.3,61,58.6,NA,NA,NA,NA,NA,NA,3.5,NA
"853","20718A","20718","283",1,1.1,"FAGR",NA,"Log",NA,NA,"3",NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"854","20811A","20811","281",7.3,7.1,"LIST2",NA,"Log","Log",NA,"3",3,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
"855","21231A","21231","2107",8.1,9.6,"CACA18",NA,"Log",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"856","21527A","21527","241",8.2,5.7,"FAGR",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,12.1,12.1,11.6,NA,NA,NA,NA,NA,NA,5,NA
"857","21541B","21541","243",0.4,4.7,"QURU",NA,"Log","Log",NA,"4",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"858","30154D","30154","325",9,8.5,"LITU",NA,"Log",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859","30202A","30202","331",2.2,1.4,"FRPE",NA,"Snag","Log",NA,"1",2,NA,NA,NA,NA,33.9,34,33.8,NA,NA,NA,NA,NA,NA,15.2,NA
"860","30225A","30225","333",6.1,9.1,"FRPE",NA,"Snag","Log",NA,"1",1,NA,NA,NA,NA,30.3,30.2,30.3,NA,NA,NA,NA,NA,NA,25,NA
"861","30242A","30242","335",2.6,3.8,"LIST2",NA,"Log","Log",NA,"2",3,NA,NA,NA,NA,60.2,NA,NA,NA,NA,NA,18,NA,NA,NA,NA
"862","30264A","30264","337",6.4,1.8,"QUFA",NA,"Snag","Log",NA,"2",4,NA,47.9,NA,NA,99.3,NA,96.6,NA,NA,NA,NA,NA,NA,15,NA
"863","30264B","30264","346",6.4,1.8,"QUFA",NA,"Log","Log",NA,"2",3,NA,NA,NA,NA,99.3,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"864","30272A","30272","337",1.5,8.4,"ACRU",NA,"Log","Log",NA,"2",4,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,14,NA,NA,NA,NA
"865","30274B","30274","338",1,0.8,"CACA18",NA,"Log",NA,NA,"3",NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
"866","30274A","30274","338",1,0.8,"CACA18",NA,"Snag",NA,NA,"3",NA,NA,10.8,NA,NA,12.8,13.3,NA,NA,NA,NA,NA,NA,NA,2.6,NA
"867","30279A","30279","338",3,1.5,"QUAL",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,17.2,16.5,17.4,NA,NA,NA,NA,NA,NA,11,NA
"868","30300B","30300","339",7.4,3.1,"CACA18",NA,"Log",NA,NA,"4",NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"869","30300A","30300","339",7.4,3.1,"CACA18",NA,"Snag",NA,NA,"4",NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA
"870","30340B","30340","343",8.2,0.3,"ACRU",NA,"Log","Log",NA,"3",4,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,11,NA,NA,NA,NA
"871","30340A","30340","343",8.2,0.3,"ACRU",NA,"Snag","Log",NA,"3",4,NA,25.2,NA,NA,27.3,26.9,25.9,NA,NA,NA,NA,NA,NA,1.7,NA
"872","30359A","30359","344",8,3.5,"FRPE",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,52.8,52.8,NA,NA,NA,NA,NA,NA,NA,28,NA
"873","30383A","30383","345",0.6,6.6,"FRPE",NA,"Snag","Snag",NA,"1",1,NA,NA,NA,NA,56.9,57.3,NA,NA,NA,NA,NA,NA,NA,30,NA
"874","30394A","30394","346",1.8,3.5,"FAGR",NA,"Log","Log",NA,"2",4,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,13,NA,NA,NA,NA
"875","30438A","30438","351",7,7,"LIST2",NA,"Snag","Log",NA,"1",3,NA,NA,10.3,NA,11.8,11.6,11.6,NA,12.7,NA,NA,3,NA,6.5,NA
"876","30944A","30944","348",7.9,8.1,"FAGR",NA,"Snag","Log",NA,"3",3,NA,NA,NA,NA,13.3,11.9,NA,NA,NA,NA,NA,NA,NA,8,NA
"877","31066A","31066","393",8.8,6.7,"CAGL8",NA,"Snag","Snag",NA,"1",2,NA,NA,NA,NA,10.5,11.3,10.7,NA,9.5,NA,NA,NA,NA,8,4
"878","31089B","31089","394",0.7,9.2,"LIST2",NA,"Log","Log",NA,"1",4,NA,NA,NA,NA,16.7,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA
"879","31089A","31089","394",0.7,9.2,"LIST2",NA,"Snag","Snag",NA,"1",3,NA,15.9,NA,NA,16.7,16.5,16.2,NA,15.3,NA,NA,NA,NA,3,1.9
"880","31122A","31122","377",0,1.5,"CATO6",NA,"Log","Log",NA,NA,1,NA,NA,NA,NA,46.6,NA,NA,NA,46,NA,NA,0.88,NA,NA,NA
"881","31143A","31143","378",1.8,4.6,"CACA18",NA,"Log",NA,NA,"4",NA,NA,NA,NA,NA,13.6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"882","31335A","31335","389",0.5,6.9,"CATO6",NA,"Snag","Log",NA,"2",4,NA,11.7,NA,NA,16.9,16.5,NA,NA,NA,NA,NA,NA,NA,4,NA
"883","31335B","31335","389",0.5,6.9,"CATO6",NA,"Log",NA,NA,"3",NA,NA,NA,NA,NA,16.9,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA
"884","31504A","31504","395",5.6,6.4,"COFL2",NA,"Snag","Log",NA,"1",2,NA,NA,NA,NA,10.3,10.2,10.1,NA,NA,NA,NA,NA,NA,7,NA
"885","40044B","40044","413",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",3,NA,NA,47,NA,NA,NA,NA,NA,52.5,NA,NA,1.3,NA,NA,NA
"886","40044C","40044","413",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",3,NA,NA,46.7,NA,NA,NA,NA,NA,47,NA,NA,2.01,NA,NA,NA
"887","40044D","40044","413",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",4,NA,NA,52.4,NA,NA,NA,NA,NA,54.2,NA,NA,2.1,NA,NA,NA
"888","40044A","40044","413",9.5,4.5,"FAGR",NA,"Snag","Log",NA,"2",3,NA,54.4,53.3,NA,60.2,57.2,NA,NA,55.6,NA,NA,4.3,NA,NA,NA
"889","40044E","40044","422",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",4,NA,NA,32.5,NA,NA,NA,NA,NA,38.7,NA,NA,1,NA,NA,NA
"890","40044F","40044","422",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",4,NA,NA,28.8,NA,NA,NA,NA,NA,35,NA,NA,1,NA,NA,NA
"891","40044G","40044","422",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",3,NA,NA,23,NA,NA,NA,NA,NA,24.5,NA,NA,1.6,NA,NA,NA
"892","40044H","40044","422",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",3,NA,NA,26.2,NA,NA,NA,NA,NA,28.1,NA,NA,1.1,NA,NA,NA
"893","40044I","40044","422",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",3,NA,NA,34.6,NA,NA,NA,NA,NA,35.9,NA,NA,1.25,NA,NA,NA
"894","40044J","40044","422",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",3,NA,NA,24.2,NA,NA,NA,NA,NA,25.3,NA,NA,1.3,NA,NA,NA
"895","40044K","40044","422",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",3,NA,NA,25.8,NA,NA,NA,NA,NA,35.7,NA,NA,1.9,NA,NA,NA
"896","40044L","40044","422",9.5,4.5,"FAGR",NA,"Log","Log",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","40180A","40180","425",8.9,3.7,"QUFA",NA,"Snag","Snag",NA,"2",3,NA,NA,NA,NA,47.4,46.3,46.4,NA,46.8,NA,NA,NA,NA,18.4,17
"898","40203I","40203","431",0,3.1,"CATO6",NA,"Log","Log",NA,NA,4,NA,NA,31.4,NA,NA,NA,NA,NA,31.5,NA,NA,1.2,NA,NA,NA
